"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed"
"102822-11581822","102822-Mo-Su","102822-256","Zoo","","0","","102822-11581820","0","0"
"102822-11581822","102822-Mo-Su","102822-257","Cascades","","1","","102822-11581821","0","0"
"102822-11581842","102822-Mo-Su","102822-258","Millionnaire Antenne","","0","","102822-11581841","0","0"
"102822-11581842","102822-Mo-Su","102822-259","Sable nouveau goudron","","1","","102822-11581840","0","0"
"102822-10403061","102822-Mo-Su","102822-26","Yopougon Kowët","","0","","102822-10403060","0","0"
"102822-11581878","102822-Mo-Su","102822-260","Zoo","","0","","102822-11581876","0","0"
"102822-11581878","102822-Mo-Su","102822-261","Zinssou","","1","","102822-11581877","0","0"
"102822-11583609","102822-Mo-Su","102822-262","Saguidiba","","0","","102822-11583591","0","0"
"102822-11583609","102822-Mo-Su","102822-263","Sapeur Pompier","","1","","102822-11583590","0","0"
"102822-11583655","102822-Mo-Su","102822-264","Camp Militaire","","0","","102822-11583653","0","0"
"102822-11583655","102822-Mo-Su","102822-265","Palais","","1","","102822-11583652","0","0"
"102822-11583703","102822-Mo-Su","102822-266","Toit rouge Jean-Paul 2","","0","","102822-11583702","0","0"
"102822-11583703","102822-Mo-Su","102822-267","Koweit","","1","","102822-11583701","0","0"
"102822-11583900","102822-Mo-Su","102822-268","Koweit","","0","","102822-11583899","0","0"
"102822-11583900","102822-Mo-Su","102822-269","Camp Militaire","","1","","102822-11583898","0","0"
"102822-10403061","102822-Mo-Su","102822-27","Adjamé Texaco","","1","","102822-10403059","0","0"
"102822-11588596","102822-Mo-Su","102822-270","Sapeur Pompier","","0","","102822-11588595","0","0"
"102822-11588596","102822-Mo-Su","102822-271","Palais","","1","","102822-11588594","0","0"
"102822-11588862","102822-Mo-Su","102822-272","Complexe","","0","","102822-11588861","0","0"
"102822-11588862","102822-Mo-Su","102822-273","Bhci","","1","","102822-11588860","0","0"
"102822-11588965","102822-Mo-Su","102822-274","Nouveau Goudron","","0","","102822-11588964","0","0"
"102822-11588965","102822-Mo-Su","102822-275","Keneya","","1","","102822-11588963","0","0"
"102822-11589210","102822-Mo-Su","102822-276","Sable nouveau goudron","","0","","102822-11589209","0","0"
"102822-11589210","102822-Mo-Su","102822-277","Zone industrielle","","1","","102822-11589208","0","0"
"102822-11591910","102822-Mo-Su","102822-278","2 Plateaux Vallons","","0","","102822-11591909","0","0"
"102822-11591910","102822-Mo-Su","102822-279","Gare carrefour 2 Plateaux","","1","","102822-11591908","0","0"
"102822-10404238","102822-Mo-Su","102822-28","Cocody Akouédo","","0","","102822-10404237","0","0"
"102822-11592007","102822-Mo-Su","102822-280","Commissariat du 12è","","0","","102822-11592006","0","0"
"102822-11592007","102822-Mo-Su","102822-281","Gare carrefour 2 plateaux","","1","","102822-11592005","0","0"
"102822-11592064","102822-Mo-Su","102822-282","Saint Michel","","0","","102822-11592063","0","0"
"102822-11592064","102822-Mo-Su","102822-283","Adjamé Liberté","","1","","102822-11592062","0","0"
"102822-11592121","102822-Mo-Su","102822-284","Zoo","","0","","102822-11592120","0","0"
"102822-11592121","102822-Mo-Su","102822-285","Opera","","1","","102822-11592119","0","0"
"102822-11592212","102822-Mo-Su","102822-286","Sable","","0","","102822-11592211","0","0"
"102822-11592212","102822-Mo-Su","102822-287","Carrefour Chu","","1","","102822-11592210","0","0"
"102822-11592326","102822-Mo-Su","102822-288","Terminus 51-52","","0","","102822-11592325","0","0"
"102822-11592326","102822-Mo-Su","102822-289","Abobo Gendarmerie","","1","","102822-11592324","0","0"
"102822-10404238","102822-Mo-Su","102822-29","Adjamé gare en haut","","1","","102822-10404236","0","0"
"102822-11592385","102822-Mo-Su","102822-290","Zone industrielle","","0","","102822-11592384","0","0"
"102822-11592385","102822-Mo-Su","102822-291","Carrefour Zone","","1","","102822-11592383","0","0"
"102822-11592419","102822-Mo-Su","102822-292","Micao","","0","","102822-11592418","0","0"
"102822-11592419","102822-Mo-Su","102822-293","Carrefour Zone","","1","","102822-11592417","0","0"
"102822-11592466","102822-Mo-Su","102822-294","Keneya","","0","","102822-11592464","0","0"
"102822-11592466","102822-Mo-Su","102822-295","Carrefour Chu","","1","","102822-11592465","0","0"
"102822-11592497","102822-Mo-Su","102822-296","Kennedy","","0","","102822-11592495","0","0"
"102822-11592497","102822-Mo-Su","102822-297","Abobo Marché","","1","","102822-11592496","0","0"
"102822-11592571","102822-Mo-Su","102822-298","Mairie","","0","","102822-11592569","0","0"
"102822-11592571","102822-Mo-Su","102822-299","Gabriel Gare","","1","","102822-11592570","0","0"
"102822-10179435","102822-Mo-Su","102822-3","Adjamé Marché Gouro","","1","","102822-10179433","0","0"
"102822-10406129","102822-Mo-Su","102822-30","Treichville Gare de Bassam","","0","","102822-10406127","0","0"
"102822-11592766","102822-Mo-Su","102822-300","Dokui","","0","","102822-11592765","0","0"
"102822-11592766","102822-Mo-Su","102822-301","Abobo Marché","","1","","102822-11592764","0","0"
"102822-11592774","102822-Mo-Su","102822-302","Gabriel Gare","","0","","102822-11592773","0","0"
"102822-11592774","102822-Mo-Su","102822-303","Bel air","","1","","102822-11592772","0","0"
"102822-11592840","102822-Mo-Su","102822-304","Coopec ananeraie","","0","","102822-11592839","0","0"
"102822-11592840","102822-Mo-Su","102822-305","Carrefour Oasis","","1","","102822-11592838","0","0"
"102822-11592897","102822-Mo-Su","102822-306","Houphouet-Boigny","","0","","102822-11592896","0","0"
"102822-11592897","102822-Mo-Su","102822-307","Abobo marché","","1","","102822-11592895","0","0"
"102822-11592959","102822-Mo-Su","102822-308","Carrefour kennedy","","0","","102822-11592958","0","0"
"102822-11592959","102822-Mo-Su","102822-309","Abobo Marche","","1","","102822-11592957","0","0"
"102822-10406129","102822-Mo-Su","102822-31","Port-Bouët Gonzagueville","","1","","102822-10406128","0","0"
"102822-11593183","102822-Mo-Su","102822-310","Grand Carrefour","","0","","102822-11593182","0","0"
"102822-11593183","102822-Mo-Su","102822-311","Ancienne Gendarmerie","","1","","102822-11593181","0","0"
"102822-11596432","102822-Mo-Su","102822-312","Keneya","","0","","102822-11596430","0","0"
"102822-11596432","102822-Mo-Su","102822-313","Coopec ananeraie","","1","","102822-11596431","0","0"
"102822-11596455","102822-Mo-Su","102822-314","Keneya","","0","","102822-11596454","0","0"
"102822-11596455","102822-Mo-Su","102822-315","Bel air","","1","","102822-11596453","0","0"
"102822-11596584","102822-Mo-Su","102822-316","Palais","","0","","","0","0"
"102822-11596584","102822-Mo-Su","102822-317","Koweit","","1","","","0","0"
"102822-11596698","102822-Mo-Su","102822-318","Palais","","0","","102822-11596696","0","0"
"102822-11596698","102822-Mo-Su","102822-319","Abobo Doumé Marine","","1","","102822-11596697","0","0"
"102822-10406387","102822-Mo-Su","102822-32","Yopougon Palais","","0","","102822-10406386","0","0"
"102822-11596735","102822-Mo-Su","102822-320","Mossikro","","0","","102822-11596734","0","0"
"102822-11596735","102822-Mo-Su","102822-321","Bel air","","1","","102822-11596733","0","0"
"102822-11596752","102822-Mo-Su","102822-322","Colonel","","0","","102822-11596751","0","0"
"102822-11596752","102822-Mo-Su","102822-323","Bel air","","1","","102822-11596750","0","0"
"102822-11596793","102822-Mo-Su","102822-324","Toit rouge Jean-Paul 2","","0","","102822-11596792","0","0"
"102822-11596793","102822-Mo-Su","102822-325","Sapeur Pompier","","1","","102822-11596791","0","0"
"102822-11596832","102822-Mo-Su","102822-326","Toit rouge Jean-Paul 2","","0","","102822-11596830","0","0"
"102822-11596832","102822-Mo-Su","102822-327","Abobo Doumé","","1","","102822-11596831","0","0"
"102822-11596845","102822-Mo-Su","102822-328","Mairie d'Anyama","","0","","102822-11596844","0","0"
"102822-11596845","102822-Mo-Su","102822-329","Gare d'Anyama","","1","","102822-11596843","0","0"
"102822-10406387","102822-Mo-Su","102822-33","Adjamé Renault","","1","","102822-10406385","0","0"
"102822-11596868","102822-Mo-Su","102822-330","Sable","","0","","102822-11596867","0","0"
"102822-11596868","102822-Mo-Su","102822-331","Koweit","","1","","102822-11596866","0","0"
"102822-11596890","102822-Mo-Su","102822-332","Koweit","","0","","102822-11596888","0","0"
