"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding","level_id","platform_code"
"102822-NODE/10273846191","","Carrefour Mosquée","","5.397806","-3.943207","","","0","","","0","",""
"102822-NODE/10273846192","","Carrefour Base Cie","","5.398454","-3.947753","","","0","","","0","",""
"102822-NODE/10273846193","","Nouveau Chu","","5.3995","-3.95386","","","0","","","0","",""
"102822-NODE/10273846194","","Arrêt Sotra","","5.399242","-3.951667","","","0","","","0","",""
"102822-NODE/10273846195","","Carrefour Eglise","","5.399007","-3.950078","","","0","","","0","",""
"102822-NODE/10273846196","","Carrefour Base Cie","","5.398636","-3.947496","","","0","","","0","",""
"102822-NODE/10273846197","","Carrefour Miss Zahoui","","5.398243","-3.944354","","","0","","","0","",""
"102822-NODE/10273846198","","Carrefour Mosquée","","5.398022","-3.943014","","","0","","","0","",""
"102822-NODE/10273846199","","Carrefour Djorobité","","5.397507","-3.93939","","","0","","","0","",""
"102822-NODE/10273846200","","Immeuble Rouge","","5.397155","-3.936962","","","0","","","0","",""
"102822-NODE/10273846201","","Carrefour Docteur","","5.39679","-3.934339","","","0","","","0","",""
"102822-NODE/10273846202","","Carrefour Rois des Rois","","5.396384","-3.931556","","","0","","","0","",""
"102822-NODE/10273846203","","Carrefour Nouvelle Construction","","5.395988","-3.928475","","","0","","","0","",""
"102822-NODE/10273846204","","Carrefour Gendarme","","5.395131","-3.924094","","","0","","","0","",""
"102822-NODE/10273846205","","Carrefour Gendarme","","5.395208","-3.923843","","","0","","","0","",""
"102822-NODE/10273846206","","1er Arrêt","","5.39318","-3.923159","","","0","","","0","",""
"102822-NODE/10273846207","","Rond Point du Chateau","","5.389458","-3.925276","","","0","","","0","",""
"102822-NODE/10273846208","","Au Feu","","5.390975","-3.922529","","","0","","","0","",""
"102822-NODE/10273858209","","Au Feu","","5.39101","-3.922288","","","0","","","0","",""
"102822-NODE/10273858210","","A la Terrasse","","5.389779","-3.924175","","","0","","","0","",""
"102822-NODE/10276806528","","Nouveau goudron Abatta","","5.374379","-3.928898","","","0","","","0","",""
"102822-NODE/10276806529","","Boulangerie","","5.39016","-3.923825","","","0","","","0","",""
"102822-NODE/10276806530","","Carrefour Nouvelle Construction","","5.395838","-3.928953","","","0","","","0","",""
"102822-NODE/10276806531","","Carrefour Miss Zahoui","","5.39806","-3.944726","","","0","","","0","",""
"102822-NODE/10276806532","","Carrefour Nouveau Chu","","5.399365","-3.953972","","","0","","","0","",""
"102822-NODE/10276806533","","Pharmacie Sainte Clémentine","","5.405099","-3.956167","","","0","","","0","",""
"102822-NODE/10276806534","","Carrefour Oribat","","5.413571","-3.962126","","","0","","","0","",""
"102822-NODE/10276806535","","Carrefour Akissi Delta","","5.415155","-3.963279","","","0","","","0","",""
"102822-NODE/10276806536","","Boulangerie Flamand","","5.416863","-3.964482","","","0","","","0","",""
"102822-NODE/10276806537","","Carrefour des prêtes","","5.41964","-3.966755","","","0","","","0","",""
"102822-NODE/10276806538","","Carrefour Cabri","","5.420148","-3.968932","","","0","","","0","",""
"102822-NODE/10276806539","","Carrefou Kanga","","5.418997","-3.97174","","","0","","","0","",""
"102822-NODE/10276806540","","Pharmacie Redemption","","5.416771","-3.974969","","","0","","","0","",""
"102822-NODE/10276806608","","Angre fin goudron","","5.415706","-3.976846","","","0","","","0","",""
"102822-NODE/10276820709","","Carrefour Cité Militaire","","5.417402","-3.974327","","","0","","","0","",""
"102822-NODE/10276820710","","A la Boulangerie","","5.418154","-3.973224","","","0","","","0","",""
"102822-NODE/10276820711","","Carrefou Kanga","","5.419302","-3.971531","","","0","","","0","",""
"102822-NODE/10276820712","","Carrefour Cabri","","5.420264","-3.968536","","","0","","","0","",""
"102822-NODE/10276820713","","Carrefour des prêtes","","5.416709","-3.964191","","","0","","","0","",""
"102822-NODE/10276820714","","EPV les merveilles","","5.415463","-3.963288","","","0","","","0","",""
"102822-NODE/10276820715","","Carrefour Oribat","","5.413662","-3.961941","","","0","","","0","",""
"102822-NODE/10276820716","","Pharmacie Sainte Clémentine","","5.40471","-3.955724","","","0","","","0","",""
"102822-NODE/10276820717","","CHU Angré","","5.39985","-3.956238","","","0","","","0","",""
"102822-NODE/10276820718","","Rond Point du Chateau","","5.389126","-3.92536","","","0","","","0","",""
"102822-NODE/10276820719","","Nouveau goudron Abatta","","5.374464","-3.928936","","","0","","","0","",""
"102822-NODE/10289441892","","Carrefour Duncan","","5.377598","-3.997211","","","0","","","0","",""
"102822-NODE/10289441893","","RTI Publicité","","5.377178","-3.99529","","","0","","","0","",""
"102822-NODE/10289441894","","BOA Agence Rue des jardins","","5.371625","-3.990237","","","0","","","0","",""
"102822-NODE/10289441895","","Nuit Saigon","","5.368406","-3.989748","","","0","","","0","",""
"102822-NODE/10289441896","","Mr Chou","","5.367027","-3.989681","","","0","","","0","",""
"102822-NODE/10289441898","","Club House","","5.366196","-3.989775","","","0","","","0","",""
"102822-NODE/10289441899","","Nuit Saigon","","5.368521","-3.989858","","","0","","","0","",""
"102822-NODE/10289441900","","Pharmacie Saint Joseph","","5.369216","-3.98995","","","0","","","0","",""
"102822-NODE/10289441901","","BOA Agence Rue des jardins","","5.371735","-3.990337","","","0","","","0","",""
"102822-NODE/10289441902","","Indian Bazaar","","5.373309","-3.990588","","","0","","","0","",""
"102822-NODE/10289441903","","Carrefour 12ème","","5.373889","-3.990435","","","0","","","0","",""
"102822-NODE/10289441904","","Carrefour 12ème","","5.373982","-3.990528","","","0","","","0","",""
"102822-NODE/10289441905","","Akwaba","","5.374872","-3.990516","","","0","","","0","",""
