"trip_id","start_time","end_time","headway_secs","exact_times"
"102822-453","05:00:00","22:00:00","300","0"
"102822-454","05:00:00","22:00:00","900","0"
"102822-455","05:00:00","22:00:00","900","0"
"102822-456","05:00:00","22:00:00","1800","0"
"102822-457","05:00:00","22:00:00","1800","0"
"102822-458","05:00:00","22:00:00","1800","0"
"102822-459","05:00:00","22:00:00","1800","0"
"102822-46","05:00:00","22:00:00","3600","0"
"102822-460","05:00:00","22:00:00","900","0"
"102822-461","05:00:00","22:00:00","900","0"
"102822-462","05:00:00","22:00:00","900","0"
"102822-463","05:00:00","22:00:00","900","0"
"102822-464","05:00:00","22:00:00","360","0"
"102822-465","05:00:00","22:00:00","360","0"
"102822-466","05:00:00","22:00:00","1800","0"
"102822-467","05:00:00","22:00:00","1800","0"
"102822-468","05:00:00","22:00:00","1800","0"
"102822-469","05:00:00","22:00:00","1800","0"
"102822-47","05:00:00","22:00:00","3600","0"
"102822-470","05:00:00","22:00:00","300","0"
"102822-471","05:00:00","22:00:00","300","0"
"102822-472","05:00:00","22:00:00","1200","0"
"102822-473","05:00:00","22:00:00","1200","0"
"102822-474","05:00:00","22:00:00","3600","0"
"102822-475","05:00:00","22:00:00","3600","0"
"102822-476","05:00:00","22:00:00","1800","0"
"102822-477","05:00:00","22:00:00","1800","0"
"102822-478","05:00:00","22:00:00","600","0"
"102822-479","05:00:00","22:00:00","600","0"
"102822-48","05:00:00","22:00:00","300","0"
"102822-480","05:00:00","22:00:00","1200","0"
"102822-481","05:00:00","22:00:00","1200","0"
"102822-482","05:00:00","22:00:00","1200","0"
"102822-483","05:00:00","22:00:00","1200","0"
"102822-484","05:00:00","22:00:00","1500","0"
"102822-485","05:00:00","22:00:00","1500","0"
"102822-486","05:00:00","22:00:00","900","0"
"102822-487","05:00:00","22:00:00","900","0"
"102822-488","05:00:00","22:00:00","1200","0"
"102822-489","05:00:00","22:00:00","1200","0"
"102822-49","05:00:00","22:00:00","300","0"
"102822-490","05:00:00","22:00:00","1200","0"
"102822-491","05:00:00","22:00:00","1200","0"
"102822-492","05:00:00","22:00:00","600","0"
"102822-493","05:00:00","22:00:00","600","0"
"102822-494","05:00:00","22:00:00","300","0"
"102822-495","05:00:00","22:00:00","300","0"
"102822-496","05:00:00","22:00:00","900","0"
"102822-497","05:00:00","22:00:00","900","0"
"102822-498","05:00:00","22:00:00","900","0"
"102822-499","05:00:00","22:00:00","900","0"
"102822-5","05:00:00","07:00:00","900","0"
"102822-5","07:00:00","09:00:00","180","0"
"102822-5","09:00:00","17:00:00","360","0"
"102822-50","05:00:00","22:00:00","3600","0"
"102822-500","05:00:00","22:00:00","1500","0"
"102822-501","05:00:00","22:00:00","1500","0"
"102822-502","05:00:00","22:00:00","3600","0"
"102822-503","05:00:00","22:00:00","3600","0"
"102822-504","05:00:00","22:00:00","3600","0"
"102822-505","05:00:00","22:00:00","3600","0"
"102822-506","05:00:00","22:00:00","1800","0"
"102822-507","05:00:00","22:00:00","1800","0"
"102822-508","05:00:00","22:00:00","900","0"
"102822-509","05:00:00","22:00:00","900","0"
"102822-51","05:00:00","22:00:00","3600","0"
"102822-510","05:00:00","22:00:00","1200","0"
"102822-511","05:00:00","22:00:00","1200","0"
"102822-512","05:00:00","22:00:00","1200","0"
"102822-513","05:00:00","22:00:00","1200","0"
"102822-514","05:00:00","22:00:00","1200","0"
"102822-515","05:00:00","22:00:00","1200","0"
"102822-516","05:00:00","22:00:00","600","0"
"102822-517","05:00:00","22:00:00","600","0"
"102822-518","05:00:00","22:00:00","1200","0"
"102822-519","05:00:00","22:00:00","1200","0"
"102822-52","05:00:00","22:00:00","3000","0"
"102822-520","05:00:00","22:00:00","1800","0"
"102822-521","05:00:00","22:00:00","1800","0"
"102822-522","05:00:00","22:00:00","420","0"
"102822-523","05:00:00","22:00:00","420","0"
"102822-524","05:00:00","22:00:00","300","0"
"102822-525","05:00:00","22:00:00","300","0"
"102822-526","05:00:00","22:00:00","240","0"
"102822-527","05:00:00","22:00:00","240","0"
"102822-528","05:00:00","22:00:00","120","0"
"102822-529","05:00:00","22:00:00","120","0"
"102822-53","05:00:00","22:00:00","3000","0"
"102822-530","05:00:00","22:00:00","1200","0"
"102822-531","05:00:00","22:00:00","1200","0"
"102822-532","05:00:00","22:00:00","900","0"
"102822-533","05:00:00","22:00:00","900","0"
"102822-534","05:00:00","22:00:00","600","0"
"102822-535","05:00:00","22:00:00","600","0"
"102822-536","05:00:00","22:00:00","900","0"
"102822-537","05:00:00","22:00:00","900","0"
"102822-538","05:00:00","22:00:00","1500","0"
"102822-539","05:00:00","22:00:00","1500","0"
"102822-54","05:00:00","22:00:00","600","0"
"102822-540","05:00:00","22:00:00","900","0"
"102822-541","05:00:00","22:00:00","900","0"
"102822-542","05:00:00","22:00:00","1200","0"
"102822-543","05:00:00","22:00:00","1200","0"
"102822-544","05:00:00","22:00:00","900","0"
"102822-545","05:00:00","22:00:00","900","0"
"102822-546","05:00:00","22:00:00","1200","0"
"102822-547","05:00:00","22:00:00","1200","0"
"102822-548","05:00:00","22:00:00","300","0"
"102822-549","05:00:00","22:00:00","300","0"
"102822-55","05:00:00","22:00:00","600","0"
"102822-550","05:00:00","22:00:00","600","0"
"102822-551","05:00:00","22:00:00","600","0"
"102822-552","05:00:00","22:00:00","900","0"
"102822-553","05:00:00","22:00:00","900","0"
"102822-554","05:00:00","22:00:00","300","0"
"102822-555","05:00:00","22:00:00","300","0"
"102822-556","05:00:00","22:00:00","120","0"
"102822-557","05:00:00","22:00:00","120","0"
"102822-558","05:00:00","22:00:00","3600","0"
"102822-559","05:00:00","22:00:00","3600","0"
"102822-56","05:00:00","07:00:00","2400","0"
"102822-56","07:00:00","09:00:00","1440","0"
"102822-56","09:00:00","17:00:00","600","0"
"102822-56","17:00:00","20:00:00","300","0"
"102822-56","20:00:00","22:00:00","2400","0"
"102822-560","05:00:00","22:00:00","300","0"
"102822-561","05:00:00","22:00:00","300","0"
"102822-562","05:00:00","22:00:00","1200","0"
"102822-563","05:00:00","22:00:00","1200","0"
"102822-564","05:00:00","22:00:00","300","0"
"102822-565","05:00:00","22:00:00","300","0"
